timestamp,joints,joint angle
23/06/11 17:33:34.924,"[12, 11, 10]",173.67088861060893
23/06/11 17:33:34.924,"[16, 15, 14]",174.57415881612167
23/06/11 17:33:34.924,"[20, 19, 18]",174.3492214587471
23/06/11 17:33:34.988,"[4, 3, 2]",178.73827662732546
23/06/11 17:33:34.988,"[3, 2, 1]",175.49709972495856
23/06/11 17:33:34.989,"[2, 1, 0]",155.3387927187227
23/06/11 17:33:34.989,"[8, 7, 6]",148.8530239828252
23/06/11 17:33:34.989,"[12, 11, 10]",168.02991911497628
23/06/11 17:33:34.990,"[16, 15, 14]",172.7344085181321
23/06/11 17:33:34.990,"[20, 19, 18]",169.08381730113817
23/06/11 17:33:34.990,"[4, 3, 2]",179.53062029244956
23/06/11 17:33:34.990,"[3, 2, 1]",174.28805098579699
23/06/11 17:33:34.991,"[2, 1, 0]",153.27638254866847
23/06/11 17:33:34.991,"[8, 7, 6]",170.44336213947184
23/06/11 17:33:34.991,"[12, 11, 10]",167.65917041999458
23/06/11 17:33:34.991,"[16, 15, 14]",172.97495772274456
23/06/11 17:33:34.991,"[20, 19, 18]",175.69352710132495
23/06/11 17:33:35.060,"[4, 3, 2]",178.03756127013747
23/06/11 17:33:35.060,"[3, 2, 1]",177.14315926995747
23/06/11 17:33:35.060,"[2, 1, 0]",153.64121430727053
23/06/11 17:33:35.060,"[8, 7, 6]",144.1579948916035
23/06/11 17:33:35.061,"[12, 11, 10]",168.3480435552807
23/06/11 17:33:35.061,"[16, 15, 14]",172.77807245277012
23/06/11 17:33:35.061,"[20, 19, 18]",168.49559927036788
23/06/11 17:33:35.061,"[4, 3, 2]",172.83605059466484
23/06/11 17:33:35.062,"[3, 2, 1]",178.28874797023727
23/06/11 17:33:35.062,"[2, 1, 0]",154.92038736092715
23/06/11 17:33:35.062,"[8, 7, 6]",164.3355806163935
23/06/11 17:33:35.062,"[12, 11, 10]",169.98419269058024
23/06/11 17:33:35.063,"[16, 15, 14]",173.62130312905018
23/06/11 17:33:35.063,"[20, 19, 18]",175.6171610026483
23/06/11 17:33:35.124,"[4, 3, 2]",179.61527752531876
23/06/11 17:33:35.124,"[3, 2, 1]",175.80252738033855
23/06/11 17:33:35.124,"[2, 1, 0]",153.50017228639905
23/06/11 17:33:35.125,"[8, 7, 6]",137.54684989612076
23/06/11 17:33:35.125,"[12, 11, 10]",168.77098078587068
23/06/11 17:33:35.125,"[16, 15, 14]",173.05594839179366
23/06/11 17:33:35.125,"[20, 19, 18]",169.1972332344016
23/06/11 17:33:35.126,"[4, 3, 2]",178.54319095898188
23/06/11 17:33:35.126,"[3, 2, 1]",173.66735920540617
23/06/11 17:33:35.126,"[2, 1, 0]",155.07142848763493
23/06/11 17:33:35.127,"[8, 7, 6]",169.24573000269672
23/06/11 17:33:35.127,"[12, 11, 10]",164.7828888988804
23/06/11 17:33:35.127,"[16, 15, 14]",174.97155977718904
23/06/11 17:33:35.127,"[20, 19, 18]",177.42348108245997
23/06/11 17:33:35.203,"[4, 3, 2]",177.81385136070696
23/06/11 17:33:35.204,"[3, 2, 1]",177.5487983224396
23/06/11 17:33:35.204,"[2, 1, 0]",150.18042227392
23/06/11 17:33:35.204,"[8, 7, 6]",133.75547436336953
