time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
12:25:22.188,0,0,0,0,-0.01,-0.01,-0.01,0
12:25:22.200,0,-0.02,0,0,-0.01,0,0,0.01
12:25:22.211,0,0,0,0,0.01,0,-0.02,0
12:25:22.254,0,0,-0.01,0,0,0,0,-0.01
12:25:22.264,0,0,0,-0.01,0,-0.01,0,0
12:25:22.274,0,-0.01,0,-0.01,-0.01,0,0,0
12:25:22.285,-0.01,0,0,0,0.02,0,0,0
12:25:22.294,-0.01,0,0,0,0.02,0,0,0
12:25:22.307,0,0,-0.01,0,-0.01,0,-0.01,0
12:25:22.317,-0.01,0,-0.01,0,0,0,-0.04,0
12:25:22.326,0,-0.01,-0.01,0,0,-0.02,0,0
12:25:22.373,0,0.01,0.01,-0.02,-0.02,0,0,0
12:25:22.385,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
12:25:22.395,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
12:25:22.404,0,0,0,0,0,0,0,0
12:25:22.414,0,0,0,0,0,0,0,0
12:25:22.428,-0.01,0,-0.01,-0.01,-0.02,0.01,0,0
12:25:22.472,-0.02,0,-0.01,0,0,0.02,0,-0.01
12:25:22.487,0,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01
12:25:22.500,-0.01,-0.01,-0.01,0,-0.02,0,0,0
12:25:22.510,0,-0.01,-0.01,0,0,0,0.01,0
12:25:22.520,0,-0.01,-0.01,0,0,0,0.01,0
12:25:22.529,0,0,0,-0.01,-0.01,0,0,0
12:25:22.542,-0.01,0,0,-0.02,0,0,-0.01,-0.01
12:25:22.587,-0.02,0,0,0,-0.01,-0.02,-0.01,0
12:25:22.598,-0.02,0,0,0,-0.01,-0.02,-0.01,0
12:25:22.613,0,0,0,-0.02,-0.01,-0.01,-0.01,0
12:25:22.626,-0.02,0,0,0,-0.01,-0.01,-0.01,0
12:25:22.636,0,-0.01,0,0,0.02,-0.01,0,-0.02
12:25:22.646,0,0,-0.01,-0.02,0,0,-0.01,-0.01
12:25:22.654,0,-0.02,0.01,0,-0.01,0,0,-0.02
12:25:22.705,0,0,0,-0.02,-0.02,-0.01,0,0
12:25:22.715,0,0,0,0,0,0,0,0
