New EMG times,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8,thumb,index,middle,ring,little
35:11.398,0,0,0.01,0,0.02,0.17,0.02,-0.02,158.081801949329,148.633768307842,152.003349096769,164.294356467102,164.294356467102
35:11.410,0,0,0.01,0,0.02,0.17,0.02,-0.02,158.139482668028,148.52189466458,151.820285736201,164.128842400722,164.128842400722
35:11.424,-0.01,0,0,0,-0.01,-0.18,-0.07,-0.02,158.197163386725,148.41002102132,151.637222375637,163.963328334343,163.963328334343
35:11.435,0.02,0.02,0.02,-0.02,-0.09,-0.2,-0.03,-0.03,158.128893101687,148.353249189448,151.177400853594,163.701586912859,163.701586912859
35:11.447,0.02,0.02,0.02,-0.02,-0.09,-0.2,-0.03,-0.03,158.060622816649,148.296477357574,150.717579331525,163.439845491375,163.439845491375
35:11.459,-0.01,-0.01,-0.03,-0.02,-0.02,-0.04,0.21,0.01,157.992352531612,148.239705525703,150.257757809493,163.178104069899,163.178104069899
35:11.506,0,0,-0.05,-0.03,-0.01,-0.13,0.08,0.03,158.570102673075,148.638727750513,150.407836343984,163.24188945972,163.24188945972
35:11.518,0,0.01,0.1,-0.01,-0.01,-0.08,-0.04,0.01,159.147852814531,149.037749975316,150.557914878473,163.305674849541,163.305674849541
35:11.528,0,0.01,0.1,-0.01,-0.01,-0.08,-0.04,0.01,159.566388979038,148.920412992136,150.288772437765,163.150654982732,163.150654982732
35:11.539,0,0,0.01,0,0.02,0.2,0.02,0.03,159.984925143566,148.803076008953,150.019629997048,162.995635115924,162.995635115924
35:11.551,0.01,-0.04,-0.04,0,0.04,0.37,-0.1,0,160.403461308073,148.685739025774,149.750487556339,162.840615249112,162.840615249112
35:11.562,-0.01,-0.03,-0.04,0,0.04,0.14,-0.2,-0.06,160.821997472573,148.568402042594,149.48134511563,162.685595382303,162.685595382303
35:11.605,0,0.01,0.02,0,0.04,0.22,0.02,0.03,160.896463273898,148.521834202216,149.049539428201,162.572522109491,162.572522109491
35:11.615,0,-0.03,-0.07,-0.01,-0.01,0.09,0.01,-0.02,160.970929075223,148.475266361837,148.617733740768,162.459448836679,162.459448836679
35:11.626,0,-0.03,-0.07,-0.01,-0.01,0.09,0.01,-0.02,162.115447732358,148.510417504153,148.26376565238,162.132707649809,162.132707649809
35:11.644,0.01,0,-0.03,-0.02,0.01,-0.09,0,0.04,163.259966389509,148.545568646468,147.909797563996,161.80596646294,161.80596646294
35:11.657,0,0.02,0,0.01,0,-0.03,-0.01,0,164.40448504666,148.580719788784,147.555829475605,161.47922527606,161.47922527606
35:11.673,0,0.01,0.02,0.04,0.04,0.09,0.13,0,164.796343826732,148.725769456145,147.679547959439,161.616995919993,161.616995919993
35:11.713,-0.01,-0.03,-0.11,-0.02,-0.03,0.3,0,-0.01,165.188202606805,148.870819123502,147.803266443271,161.754766563924,161.754766563924
35:11.725,0,-0.01,-0.03,0.02,0.01,-0.23,-0.25,0,165.185400811367,148.893817685126,147.776925002693,161.707921852265,161.707921852265
35:11.738,0,-0.01,-0.05,-0.02,-0.01,0.02,-0.11,-0.05,165.182599015929,148.916816246749,147.750583562115,161.661077140609,161.661077140609
35:11.751,-0.01,-0.04,0.01,0,0,-0.07,0.15,0,165.179797220491,148.939814808373,147.724242121538,161.614232428949,161.614232428949
35:11.765,-0.01,-0.04,0.01,0,0,-0.07,0.15,0,165.176995425052,148.962813369997,147.69790068096,161.56738771729,161.56738771729
35:11.775,0,0.01,0.11,0,-0.03,-0.07,-0.06,-0.01,165.174193629614,148.985811931622,147.671559240382,161.52054300563,161.52054300563
35:11.787,0,-0.01,-0.01,0,0,-0.21,0.01,0.01,165.171391834176,149.008810493246,147.645217799804,161.473698293971,176.203705614245
35:11.838,0,0.02,0,-0.02,-0.01,-0.06,0,-0.02,165.463431157499,149.143552042997,147.641017472504,161.187834925626,161.187834925626
35:11.850,-0.03,0,0.01,0,-0.01,0.26,-0.15,-0.03,165.755470480814,149.278293592743,147.636817145204,160.901971557279,160.901971557279
35:11.863,0.01,0,0.02,-0.03,0,0.09,0,0,166.047509804128,149.413035142494,147.632616817903,160.61610818893,160.61610818893
35:11.873,0,0,0,0.01,-0.03,0.03,0.03,0,166.339549127442,149.547776692241,147.628416490603,160.330244820587,160.330244820587
35:11.884,0,0,0,0.01,-0.03,0.03,0.03,0,166.939549995368,149.681861952125,148.172897492339,160.729974565347,160.729974565347
35:11.894,-0.01,-0.03,-0.17,-0.03,-0.04,-0.39,-0.09,-0.01,167.539550863294,149.81594721201,148.717378494068,161.129704310108,161.129704310108
35:11.943,0,0,-0.06,0,0.02,0.4,0.05,0.02,168.220518979557,149.695680498886,148.765435542495,161.004202878872,161.004202878872
35:11.954,0,0,-0.06,0,0.02,0.4,0.05,0.02,168.901487095805,149.575413785762,148.813492590921,160.87870144764,160.87870144764
35:11.964,0,0,-0.01,0.05,0,0,0.03,-0.03,169.582455212076,149.455147072636,148.861549639349,160.753200016403,160.753200016403
35:11.974,0,0,0.08,0,0.01,0.09,-0.01,0,170.32989914871,149.278903078422,148.820375375861,160.4909951929,160.4909951929
35:11.986,0,0,0.08,0,0.01,0.09,-0.01,0,171.077343085344,149.102659084208,148.779201112375,160.228790369401,160.228790369401
35:12.000,-0.02,0.01,0,-0.03,0,-0.19,-0.05,-0.04,171.824787022008,148.926415089994,148.738026848887,159.966585545895,159.966585545895
35:12.054,0.02,0.01,0.03,0.01,-0.04,-0.61,0.06,0.01,172.572230958623,148.750171095783,148.6968525854,159.704380722395,172.475462085274
35:12.067,0.02,0.01,0.03,0.01,-0.04,-0.61,0.06,0.01,172.848770907967,148.771197921801,148.702198299757,159.760682159136,159.760682159136
35:12.080,-0.01,0,0.08,0,0.02,0.18,-0.14,-0.01,173.1253108573,148.792224747819,148.707544014114,159.816983595874,159.816983595874
35:12.093,-0.01,0,0.08,0,0.02,0.18,-0.14,-0.01,173.401850806651,148.813251573837,148.712889728471,159.873285032615,159.873285032615
35:12.102,0,0,0.03,0,-0.08,-0.52,-0.01,-0.03,173.678390755995,148.834278399854,148.718235442828,159.929586469354,159.929586469354
35:12.112,0.02,0,-0.04,0,0.03,0.31,-0.02,0.01,173.954930705343,148.855305225872,148.723581157186,159.985887906096,173.130054925531
35:12.154,-0.01,0,0,-0.03,0.02,0.25,-0.05,0.02,174.008102969083,149.081082316436,148.891181792598,160.101727703053,160.101727703053
35:12.165,-0.01,0,0,-0.03,0.02,0.25,-0.05,0.02,174.061275232822,149.306859407006,149.058782428016,160.217567500011,160.217567500011
35:12.175,-0.04,-0.02,-0.04,-0.01,-0.01,-0.13,-0.42,-0.06,174.11444749656,149.532636497563,149.226383063429,160.333407296963,160.333407296963
35:12.186,-0.04,-0.02,-0.04,-0.01,-0.01,-0.13,-0.42,-0.06,174.167619760299,149.758413588122,149.393983698839,160.449247093919,160.449247093919
35:12.195,0,0,0,-0.02,-0.11,-0.45,0,0,174.220792024039,149.984190678686,149.561584334257,160.56508689088,160.56508689088
35:12.205,0,0,0,-0.02,-0.11,-0.45,0,0,174.385445812008,150.140659587692,149.790000335266,160.743710693934,160.743710693934
35:12.215,-0.01,-0.01,-0.06,0,0.02,0.33,-0.02,0,174.550099599972,150.297128496695,150.018416336272,160.922334496987,160.922334496987
35:12.226,0,-0.03,0.02,-0.04,-0.03,0.18,-0.06,-0.02,174.714753387943,150.453597405707,150.246832337289,161.100958300049,161.100958300049
35:12.271,0,-0.03,0.02,-0.04,-0.03,0.18,-0.06,-0.02,174.873440087278,150.334042173581,150.024082071675,160.89725278713,160.89725278713
35:12.281,0,-0.01,-0.03,0.01,0.01,-0.17,0.07,0.02,175.032126786613,150.214486941455,149.801331806062,160.693547274215,160.693547274215
35:12.291,-0.02,-0.04,-0.07,-0.03,-0.03,0.12,-0.28,0,175.190813485951,150.094931709329,149.578581540438,160.489841761293,160.489841761293
35:12.302,0,-0.01,-0.02,0.02,0.02,0.15,0.14,0.01,175.253576928326,150.205380713643,149.667836863587,160.373900407656,160.373900407656
35:12.314,0,0,0,0.01,0.01,0.03,0.16,0,175.3163403707,150.315829717958,149.757092186737,160.257959054017,160.257959054017
35:12.325,0,0,0,0.01,0.01,0.03,0.16,0,175.379103813075,150.426278722272,149.846347509888,160.142017700378,160.142017700378
35:12.334,-0.06,-0.03,-0.02,-0.05,-0.06,0,-0.3,-0.09,175.441867255449,150.536727726586,149.935602833038,160.02607634674,160.02607634674
35:12.394,0.01,0,-0.03,-0.03,-0.02,-0.07,0.14,-0.01,175.433519044384,150.668196267483,150.054897685459,159.94616210546,159.94616210546
35:12.406,0.01,0,-0.03,-0.03,-0.02,-0.07,0.14,-0.01,175.425170833318,150.799664808383,150.174192537881,159.866247864178,159.866247864178
35:12.418,0,0,0.03,-0.03,-0.04,0.07,-0.07,-0.03,175.416822622253,150.931133349282,150.293487390303,159.786333622897,159.786333622897
35:12.432,-0.01,-0.04,-0.01,-0.01,-0.01,-0.48,0.08,-0.02,175.408474411187,151.062601890178,150.412782242722,159.706419381617,159.706419381617
35:12.442,-0.01,-0.04,-0.01,-0.01,-0.01,-0.48,0.08,-0.02,175.67170321003,151.1386698031,150.553632556439,159.863817902791,159.863817902791
35:12.486,0.01,0,0,0.01,0.04,0.28,0.1,0.02,175.934932008875,151.214737716023,150.694482870156,160.021216423967,160.021216423967
35:12.497,0.01,0,0,0.01,0.04,0.28,0.1,0.02,175.985399724368,151.18766565379,150.530456883556,159.963857047511,159.963857047511
35:12.507,0,-0.03,-0.09,0,-0.04,-0.58,-0.01,0.05,176.035867439861,151.160593591558,150.366430896956,159.906497671052,159.906497671052
35:12.519,0,0.01,0.04,-0.01,-0.02,-0.09,-0.28,-0.07,176.086335155356,151.133521529326,150.202404910357,159.849138294596,159.849138294596
35:12.531,0,-0.02,0.02,0,-0.04,-0.68,-0.25,0.01,176.13680287085,151.106449467094,150.038378923757,159.791778918139,159.791778918139
35:12.545,0,0,-0.01,0.03,-0.02,0.34,-0.14,-0.06,176.187270586344,151.079377404862,149.87435293716,159.734419541683,172.603615502513
35:12.589,-0.03,-0.01,-0.01,-0.05,-0.09,-0.42,-0.39,0,176.216671892138,151.342257250417,150.129398090423,159.873320231916,159.873320231916
35:12.601,0,0.04,0.22,0,-0.02,-0.06,0.01,-0.01,176.246073197933,151.605137095983,150.384443243689,160.012220922152,160.012220922152
35:12.612,-0.01,-0.02,-0.09,-0.04,-0.03,-0.08,0,-0.01,176.275474503726,151.868016941531,150.639488396948,160.151121612387,160.151121612387
35:12.624,-0.01,-0.02,-0.09,-0.04,-0.03,-0.08,0,-0.01,176.304875809519,152.130896787086,150.894533550214,160.290022302623,160.290022302623
35:12.634,0,0,0.04,0,0,0,0.08,0.04,176.112623265322,152.116989281909,150.868221136787,160.281913866937,160.281913866937
35:12.644,0,0,0.04,0,0,0,0.08,0.04,175.920370721124,152.103081776733,150.84190872336,160.273805431251,160.273805431251
35:12.654,-0.03,-0.03,-0.08,-0.01,0.01,0.4,0.01,-0.01,175.728118176918,152.089174271555,150.815596309932,160.265696995565,160.265696995565
35:12.702,0.01,0.01,0.02,-0.03,-0.01,-0.04,-0.05,0,175.561500349966,151.959718187107,150.942135221456,160.435820000963,160.435820000963
35:12.716,-0.02,0,-0.02,0,-0.04,0.02,-0.16,-0.06,175.394882523018,151.83026210266,151.068674132976,160.60594300636,160.60594300636
35:12.728,-0.02,0,-0.02,0,-0.04,0.02,-0.16,-0.06,175.446395416724,151.776006112129,151.014521470517,160.555659010289,160.555659010289
35:12.738,0.04,0.02,0.17,0.03,0.1,0.09,1.04,0.1,175.497908310432,151.7217501216,150.960368808057,160.505375014216,160.505375014216
35:12.752,0.04,0.02,0.17,0.03,0.1,0.09,1.04,0.1,175.549421204137,151.66749413107,150.906216145599,160.455091018146,160.455091018146
