New EMG times,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8,thumb,index+middle,ring+little
35:21.664,-0.01,-0.01,0.04,0.04,-0.04,-0.47,-0.13,-0.04,142.951882958558,148.252719060675,164.629856217069
35:21.674,-0.01,-0.01,0.04,0.04,-0.04,-0.47,-0.13,-0.04,143.336642014241,148.207674083587,164.571832981474
35:21.683,-0.01,0,0.01,-0.01,-0.09,0.02,-0.02,0.01,143.721401069946,148.162629106497,164.513809745877
35:21.691,-0.01,0,0.01,-0.01,-0.09,0.02,-0.02,0.01,144.106160125644,148.117584129407,164.455786510282
35:21.701,0,0.02,0.01,-0.03,0,-0.52,-0.08,0,144.490919181361,148.072539152316,171.729152750702
35:21.744,0,0,-0.03,-0.01,0.01,0.17,0.09,0,145.424095107039,148.033956478332,164.618332070811
35:21.754,0,0,-0.03,0,0.01,0.07,-0.02,-0.01,146.357271032728,147.995373804346,164.83890086694
35:21.763,0,-0.01,-0.03,0.12,0.27,-0.09,0.05,0.01,147.290446958417,147.956791130363,165.059469663065
35:21.775,0,-0.01,-0.03,0.12,0.27,-0.09,0.05,0.01,148.223622884092,147.918208456382,165.28003845919
35:21.783,-0.02,-0.02,-0.04,-0.09,-0.12,-0.13,-0.01,-0.02,149.156798809767,147.879625782398,165.500607255311
35:21.793,-0.02,-0.02,-0.04,-0.09,-0.12,-0.13,-0.01,-0.02,149.659588648821,147.866633441474,165.555487784788
35:21.803,-0.01,-0.03,0.03,-0.03,-0.04,0.21,0.06,0,150.162378487876,147.853641100548,165.610368314263
35:21.814,0,0.04,0.03,-0.02,0,0.06,0.05,0,150.665168326945,147.840648759622,165.66524884374
35:21.864,0,0.01,-0.01,-0.03,-0.11,-0.11,-0.06,-0.01,150.132729997356,148.047786515739,165.823811899256
35:21.874,0,0,0,-0.02,-0.02,-0.05,0.07,0.02,149.600291667753,148.25492427186,165.982374954774
35:21.884,0,0,0,-0.02,-0.02,-0.05,0.07,0.02,149.726242982513,148.184775433376,165.849012366019
35:21.893,-0.02,-0.04,-0.05,0.04,0,-0.33,-0.07,-0.02,149.852194297266,148.114626594893,165.71564977727
35:21.902,0.01,0,0,-0.05,-0.02,0.14,-0.03,0,149.978145612022,148.044477756409,165.582287188518
35:21.912,0.01,0,0,-0.05,-0.02,0.14,-0.03,0,150.10409692678,147.974328917925,165.448924599765
35:21.921,0.01,0.04,0.09,0.02,-0.01,0.09,0,0,150.230048241541,147.904180079438,165.315562011006
35:21.960,-0.01,-0.04,-0.05,-0.08,-0.12,-0.17,0,0,150.069780231241,148.096320498037,165.429073026233
35:21.971,-0.01,-0.04,-0.05,-0.08,-0.12,-0.17,0,0,149.909512220933,148.288460916642,165.542584041461
35:21.980,0,-0.01,-0.01,-0.01,-0.02,0.19,0.07,0,149.74924421063,148.480601335245,165.656095056689
35:21.989,0,-0.01,-0.01,-0.01,-0.02,0.19,0.07,0,149.588976200328,148.672741753844,165.769606071915
35:21.998,-0.01,0,0,-0.03,-0.01,-0.18,0.03,0,149.797872713418,148.796971917915,165.807807905067
35:22.009,0,-0.01,-0.02,0.04,0.02,0.2,0.02,0,150.0067692265,148.921202081985,165.846009738217
35:22.019,0,-0.01,0.02,0.01,0.04,0.36,0.02,0.01,150.21566573959,149.045432246061,165.884211571368
35:22.028,-0.02,0.02,0.05,0,-0.03,-0.22,-0.09,-0.02,150.424562252676,149.16966241013,165.922413404517
