time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
11:35:12.971,0.02,-0.03,0.02,-0.01,-0.06,-0.22,0.1,0.02
11:35:12.984,0,-0.06,-0.11,-0.03,-0.02,-0.18,-0.05,0
11:35:13.030,0.01,0,-0.02,0.02,0.08,0.16,0.19,-0.03
11:35:13.045,0,0,-0.06,-0.01,0.01,0.29,0.04,-0.01
11:35:13.056,0,0.06,0.12,-0.01,-0.06,-0.02,-0.18,0
11:35:13.070,0,0.06,0.12,-0.01,-0.06,-0.02,-0.18,0
11:35:13.083,-0.01,-0.04,-0.08,-0.04,-0.08,-0.33,-0.06,-0.01
11:35:13.092,-0.01,0,0.03,0.02,0,-0.04,0.08,0.02
11:35:13.142,0.02,-0.07,-0.12,0.05,0.07,-0.03,0.05,0.07
11:35:13.153,-0.02,0.01,0,-0.04,-0.04,0.1,0.03,-0.06
11:35:13.164,0,0,0,0.02,0.07,0.38,0.01,-0.04
11:35:13.174,-0.03,0,-0.15,-0.07,-0.1,0.13,0.03,-0.01
11:35:13.186,-0.03,0,-0.15,-0.07,-0.1,0.13,0.03,-0.01
11:35:13.195,0,0.04,0.17,0,0,-0.36,-0.11,-0.03
11:35:13.239,-0.01,-0.02,-0.12,-0.04,-0.06,-0.23,0.04,-0.01
11:35:13.251,-0.01,-0.02,-0.12,-0.04,-0.06,-0.23,0.04,-0.01
11:35:13.262,-0.03,-0.01,-0.04,-0.03,0,0,-0.1,0
11:35:13.277,0,0,-0.06,0,0.04,0.15,0.06,0.01
11:35:13.288,0,0,-0.06,0,0.04,0.15,0.06,0.01
11:35:13.299,0,0,-0.06,0,0.04,0.15,0.06,0.01
11:35:13.349,0,-0.03,0.02,0.03,0.08,0.25,0.02,0
11:35:13.360,-0.01,0.01,-0.08,0,0.02,0.16,-0.38,0
11:35:13.371,-0.01,0.01,-0.08,0,0.02,0.16,-0.38,0
11:35:13.381,0.02,0.05,0.17,0.04,0.06,0.14,0.03,-0.02
11:35:13.390,0,0.2,0.62,-0.01,-0.04,-0.1,-0.43,-0.06
11:35:13.400,0.01,0,0,0,0.03,0.03,0.2,0.04
11:35:13.410,0.01,0,0,0,0.03,0.03,0.2,0.04
11:35:13.421,0.01,0.04,0.24,0.04,0.04,-0.03,0.14,0.01
11:35:13.461,0,-0.02,-0.03,-0.01,-0.06,-0.52,0.38,0
11:35:13.473,0.02,0.02,-0.01,0.02,0.02,0.01,-0.05,0.04
11:35:13.483,-0.02,0.01,0.03,-0.02,-0.01,0.21,0.35,-0.02
11:35:13.493,-0.02,0.01,0.03,-0.02,-0.01,0.21,0.35,-0.02
11:35:13.505,0.03,0.01,0.02,0.02,0.06,0.43,-0.15,0.04
11:35:13.515,0,-0.07,-0.24,-0.05,-0.05,0.02,-0.22,-0.05
11:35:13.527,0,-0.07,-0.24,-0.05,-0.05,0.02,-0.22,-0.05
